GB.XPD.RSDV.GD.ZS,GC.XPN.TOTL.GD.ZS,IP.PAT.RESD,NE.RSB.GNFS.CD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.PCAP.CD,SE.ADT.LITR.ZS,SE.XPD.PRIM.PC.ZS,SE.XPD.TOTL.GD.ZS,SH.DYN.NMRT,SH.XPD.GHED.GD.ZS,SI.POV.GINI,SI.POV.NAHC,SL.UEM.TOTL.ZS,SP.DYN.LE00.IN,SP.POP.SCIE.RD.P6,VC.IHR.PSRC.P5,year,country
,,4780.0,-3110174506.17284,11.222594982521,283.537695240524,330.0,,,1.76417994499207,,,,,,67.581,,,1988,CHN
,,4749.0,-3755954008.09717,4.20633435547815,310.8819124049,320.0,,,,29.7,,,,,67.838,,,1989,CHN
,,5832.0,9756630516.25238,3.92025136776569,317.884673040928,330.0,77.7850570678711,,,29.6,,32.2,,,68.005,,,1990,CHN
,,7372.0,10759018013.9373,9.26278608406234,333.142145400184,350.0,,,,29.4,,,,2.37,68.169,,,1991,CHN
,,10022.0,4326840000.0,14.2245295931824,366.460692306116,390.0,,,1.65455996990204,29.0,,,,2.37,68.734,,,1992,CHN
,,12084.0,-8470634934.48693,13.8837293021031,377.3898394789,420.0,,,1.65785002708435,28.4,,33.9,,2.69,69.216,,,1993,CHN
,,11191.0,7356963579.52908,13.0368066319673,473.489934719476,470.0,,,1.98571002483368,27.6,,,,2.9,69.52,,,1994,CHN
,,10011.0,11957976135.7853,10.9539543428699,609.604362258828,540.0,,,1.84192001819611,26.7,,,,3.0,70.008,,2.24571072330302,1995,CHN
0.563239991664886,,11628.0,17550052771.3213,9.92255675231162,709.415888233368,650.0,,,1.85338997840881,25.6,,35.2,,3.12,70.266,437.826904296875,2.0687962298406,1996,CHN
0.638729989528656,,12672.0,42823133909.2742,9.23677989162672,781.74259264729,750.0,,,,24.5,,,,3.23,70.672,466.483245849609,2.10615361955854,1997,CHN
0.646889984607697,,13751.0,43836910102.4183,7.84595178761953,828.594657681663,800.0,,5.90241,1.84432995319366,23.4,,,,3.24,71.172,381.687683105469,,1998,CHN
0.749629974365234,,15626.0,30640955376.7727,7.66165150053656,873.297610969115,860.0,,,1.88803994655609,22.4,,38.7,,3.25,71.419,414.431396484375,,1999,CHN
0.893159985542297,,25346.0,28785837091.1412,8.49009340575191,959.360412054851,940.0,90.9202117919922,,,21.3,0.99070781,,49.8,3.26,71.881,538.577819824219,,2000,CHN
