economy,series,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
ARG,SE.ADT.1524.LT.FE.ZS,,,,98.5402069091797,,,,,,,,,,99.1276702880859,,,,,,,,,,,,,,,,,,,,,
ARG,SE.ADT.1524.LT.FM.ZS,,,,1.00481998920441,,,,,,,,,,1.00423002243042,,,,,,,,,,,,,,,,,,,,,
ARG,SE.ADT.1524.LT.MA.ZS,,,,98.0654907226562,,,,,,,,,,98.7079010009766,,,,,,,,,,,,,,,,,,,,,
ARG,SE.ADT.1524.LT.ZS,,,,98.3046417236328,,,,,,,,,,98.9166564941406,,,,,,,,,,,,,,,,,,,,,
ARG,SE.ADT.LITR.FE.ZS,,,,95.9169998168945,,,,,,,,,,97.1934127807617,,,,,,,,,,,,,,,,,,,,,
ARG,SE.ADT.LITR.MA.ZS,,,,96.1740570068359,,,,,,,,,,97.1931991577148,,,,,,,,,,,,,,,,,,,,,
ARG,SE.ADT.LITR.ZS,,,,96.0407180786133,,,,,,,,,,97.1933135986328,,,,,,,,,,,,,,,,,,,,,
ARG,SE.COM.DURS,,,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
ARG,SE.ENR.PRIM.FM.ZS,1.04460000991821,,0.983500003814697,0.98496001958847,,,,,0.984390020370483,0.994459986686707,0.985450029373169,0.996399998664856,0.991039991378784,0.992370009422302,0.993120014667511,0.992860019207001,0.991110026836395,0.990620017051697,0.994090020656586,0.997009992599487,0.995930016040802,0.995450019836426,0.987410008907318,0.988240003585815,0.988229990005493,0.991569995880127,0.997940003871918,0.998809993267059,0.997640013694763,0.99796998500824,1.0010199546814,1.00192999839783,1.00501000881195,,
ARG,SE.ENR.PRSC.FM.ZS,1.04745995998383,,,,,,,,1.01927995681763,1.0210599899292,1.00899004936218,1.02296996116638,1.01586997509003,1.01778995990753,1.01810002326965,1.0220799446106,1.02778995037079,1.03299999237061,1.04022002220154,1.04638004302979,1.05000996589661,1.04753994941711,1.0359799861908,1.04019999504089,1.03461003303528,1.03136003017426,1.03122997283936,1.02838003635406,1.02081000804901,1.01962995529175,1.02131998538971,1.02056002616882,1.0242600440979,,
ARG,SE.ENR.SECO.FM.ZS,1.0644199848175,,,,,,,,1.09694004058838,1.08230996131897,1.04658997058868,1.06050002574921,1.04984998703003,1.05215001106262,1.0521399974823,1.06096994876862,1.07690000534058,1.08984994888306,1.1032999753952,1.11386001110077,1.12304997444153,1.1147700548172,1.09642004966736,1.10347998142242,1.08932995796204,1.07652997970581,1.06827998161316,1.06080996990204,1.04553997516632,1.04244995117188,1.0429300069809,1.04030001163483,1.04426002502441,,
ARG,SE.ENR.TERT.FM.ZS,,,,,,,,,,,,1.40173995494843,1.36731004714966,1.33592998981476,1.33747005462646,1.34669005870819,1.30524003505707,1.32123994827271,1.35178005695343,1.35222005844116,1.35339999198914,1.34807002544403,1.34685003757477,1.36926996707916,1.37328004837036,1.38708996772766,1.3909900188446,1.39732003211975,1.40629005432129,1.40893995761871,1.40596997737885,1.41640996932983,1.42865002155304,1.46200001239777,
ARG,SE.PRE.DURS,,,,,,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
ARG,SE.PRE.ENRL.TC.ZS,17.90407,,,,,,15.3651,,,15.99262,21.43752,23.79198,,23.86941,23.71277,21.65935,19.62456,19.29073,18.53316,17.65757,19.92434,,,,,,,,,,,,,,
ARG,SE.PRE.ENRR,60.6769981384277,,,48.567008972168,,,47.7186393737793,,52.2438201904297,53.4072418212891,54.8363800048828,55.5328598022461,58.7351989746094,59.5718116760254,60.2409515380859,60.6165618896484,62.3003311157227,63.7470092773438,63.6760482788086,64.6376266479492,66.6050033569336,68.0510406494141,68.8922500610352,68.8740463256836,70.5896530151367,72.2495727539063,73.2491989135742,74.6931610107422,75.3311920166016,76.0847320556641,77.2012100219727,77.7788314819336,76.186653137207,,
ARG,SE.PRE.ENRR.FE,61.9407806396484,,,,,,,,53.4962997436523,54.162899017334,55.476619720459,56.2061500549316,59.2625885009766,60.0664710998535,60.7318115234375,60.9645385742188,62.7236518859863,64.3349533081055,64.1637268066406,65.2349472045898,67.2965621948242,68.6873931884766,69.4229431152344,69.4313125610352,71.2427062988281,72.8458099365234,73.8574829101563,75.2564010620117,75.9007415771484,76.6315307617188,77.8188934326172,78.3557891845703,76.7102203369141,,
ARG,SE.PRE.ENRR.MA,59.4472312927246,,,,,,,,51.0307807922363,52.6756401062012,54.2167587280273,54.8812789916992,58.2250595092773,59.093578338623,59.7667808532715,60.280689239502,61.8919296264648,63.1800498962402,63.2057495117188,64.0615081787109,65.937858581543,67.4372100830078,68.3803863525391,68.336669921875,69.9600296020508,71.6748733520508,72.6628799438477,74.1502685546875,74.7822570800781,75.5577697753906,76.6059875488281,77.2228698730469,75.6821975708008,,
ARG,SE.PRE.TCAQ.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,SE.PRE.TCAQ.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,SE.PRE.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,SE.PRM.AGES,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
ARG,SE.PRM.CMPT.FE.ZS,,,,,,,,,94.6956024169922,94.9833297729492,103.833137512207,100.894821166992,100.942520141602,100.522903442383,103.205833435059,100.646942138672,98.8051834106445,95.7585906982422,96.6716003417969,99.4710311889648,103.054336547852,103.559028625488,103.731307983398,103.920051574707,104.117866516113,103.587631225586,105.598808288574,106.296783447266,107.820762634277,102.229911804199,101.081398010254,101.146430969238,105.180068969727,106.392417907715,
ARG,SE.PRM.CMPT.MA.ZS,,,,,,,,,90.6620712280273,89.8464889526367,98.7834091186523,98.1437072753906,98.5594024658203,97.9094161987305,100.526481628418,98.4101867675781,96.8085174560547,93.9388427734375,95.0608520507812,97.8433609008789,101.749870300293,102.558662414551,103.101448059082,102.923759460449,103.409118652344,103.172309875488,105.196296691895,105.821311950684,105.331466674805,100.967590332031,99.526481628418,99.6626892089844,102.569900512695,104.616569519043,
