economy,series,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
ARG,BM.GSR.ROYL.CD,288000000.0,403000000.0,409000000.0,420000000.0,284000000.0,319800000.0,376700000.0,392000000.0,482004066.218091,544377042.635738,590352559.088508,582160100.056829,580337544.850569,564137635.39202,351280000.0,402950000.0,520630000.0,650640000.0,894824121.747904,1174682409.95912,1531726727.27288,1526895360.76094,1712212409.7066,2079139111.3222,2216992899.83386,2329270062.45138,2098996165.63338,2178066123.6149,2108388364.21439,2350351644.7677,2054243292.96211,1688980858.85513,1147034410.99084,1357774877.30303,1761243242.26322
ARG,BX.GSR.ROYL.CD,6000000.0,7000000.0,4000000.0,4000000.0,5700000.0,6960000.0,8700000.0,12400000.0,15554642.4928916,17579252.9146114,26332381.7137999,25406457.6116032,36756558.0114996,46775129.5457136,33450000.0,51500000.0,61210000.0,51080000.0,80512422.8122706,96694187.4534156,99367650.4020731,105965489.617584,152187821.078051,155396388.283537,158152120.0527,179902421.57,174205013.476897,161745946.96071,168807424.709248,356498295.973946,321051040.765632,284486041.246327,209352775.990127,204996325.59504,204704856.723768
ARG,GB.XPD.RSDV.GD.ZS,,,,,,,,,0.417490005493164,0.419589996337891,0.411309987306595,0.453370004892349,0.438840001821518,0.424609988927841,0.388859987258911,0.410129994153976,0.403759986162186,0.420740008354187,0.452160000801086,0.460070013999939,0.470550000667572,0.583980023860931,0.561039984226227,0.565970003604889,0.634909987449646,0.618489980697632,0.593959987163544,0.622619986534119,0.558149993419647,0.556309998035431,0.494349986314774,0.478130012750626,0.525219976902008,,
ARG,IP.JRN.ARTC.SC,,,,,,,,,3385.12,3768.19,3724.97,4017.86,4231.85,4356.17,4681.53,4478.15,4602.28,4861.52,5552.9,5659.69,6217.93,6802.37,7135.9,7624.35,7753.63,7895.61,8218.57,8305.92,8485.48,8624.13,9090.82,8984.76,9729.75,,
ARG,IP.PAT.NRES,,,1955.0,1851.0,1919.0,2261.0,2820.0,3588.0,4012.0,5035.0,5459.0,5558.0,5574.0,5088.0,4143.0,3765.0,3816.0,4215.0,4597.0,4806.0,4781.0,4336.0,4165.0,4133.0,4078.0,4129.0,4173.0,3579.0,2925.0,3050.0,3242.0,3260.0,2562.0,3263.0,
ARG,IP.PAT.RESD,,,955.0,943.0,503.0,787.0,694.0,676.0,1097.0,824.0,861.0,899.0,1062.0,691.0,718.0,792.0,786.0,1054.0,1020.0,937.0,801.0,640.0,552.0,688.0,735.0,643.0,509.0,546.0,884.0,393.0,425.0,442.0,930.0,406.0,
ARG,SP.POP.SCIE.RD.P6,,,,,,,,,,695.619445800781,704.840881347656,713.078796386719,716.556457519531,688.277709960938,692.191833496094,718.522766113281,765.640197753906,819.377685546875,891.832763671875,974.718078613281,1035.99890136719,1035.62536621094,1123.83312988281,1180.67297363281,1203.37121582031,1198.26440429688,1206.94189453125,1230.53942871094,1259.64013671875,1210.45654296875,1224.17919921875,1226.06970214844,1236.8935546875,,
ARG,SP.POP.TECH.RD.P6,,,,,,,,,,159.91058,170.72683,156.49672,158.28249,166.62351,161.13902,168.76765,180.99878,200.24204,207.45801,194.83778,205.4882,227.03476,247.45846,272.47976,307.17135,320.69368,318.78033,326.07927,328.60276,349.52207,398.051,,,,
ARG,TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,1202087337.0,2014770885.0,1607438723.0,1686223647.0,1926288755.0,1654528414.0,1791005926.0,1509995248.0,1475175631.0,1333425811.0,1487360178.0,647172447.0,561915855.0,546445789.0,466425814.0,
ARG,TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,6.9617132411012,9.32791355217619,9.02967995248663,7.68410566375014,7.32119032482309,6.63636508254823,7.45807793886144,7.06113037765277,9.22569178201485,8.98239130251102,9.2054192542743,5.40298410981277,5.21279058881723,6.90388925607922,4.42289139264312,
AUS,BM.GSR.ROYL.CD,,808156157.10927,825954292.249382,806995923.309744,843695450.800255,798613711.680487,969759324.050812,1001161631.08382,1146884407.75145,1196946820.89075,1114256382.08339,1267126378.18412,1160197303.08146,1001186253.55015,1184791215.67903,1502670171.6454,1743966465.64385,1972287332.09256,2151687683.12054,2809284034.80361,3012858777.31232,2832316674.62371,3423557728.63804,4110573493.48566,4165820497.25686,3913990516.53594,3973566695.16273,3526073728.88977,3331031239.48075,3471857721.49032,3674795660.35383,3455233880.38519,3585412721.26358,3980422320.9286,4049873949.44015
AUS,BX.GSR.ROYL.CD,,170237056.690935,162330634.564819,154230038.157313,148081020.271711,186941007.398405,239301517.388523,261031140.985049,294468435.604387,358625655.750041,309259521.386905,381549793.139935,394187702.949771,336750552.216522,345584849.625227,450714506.611917,537973548.658145,573756156.572708,641546473.141993,713645961.039889,746149101.650395,789823546.487552,978059795.188932,948333508.18577,859824156.705119,813652776.299392,851550055.536043,783100619.94872,820885409.158888,922957692.480288,969116937.618486,895325638.815317,879093129.018848,1249186727.55997,1244181531.08147
AUS,GB.XPD.RSDV.GD.ZS,,,,,,,,,1.66231000423431,,1.5135600566864,,1.5731999874115,,1.74749004840851,,1.84902000427246,,2.18010997772217,,2.39995002746582,,2.37074995040894,2.23483991622925,,2.17843008041382,,1.92070996761322,,1.87977004051208,,1.82892000675201,,,
AUS,IP.JRN.ARTC.SC,,,,,,,,,20800.25,21727.72,21981.46,22207.0,23495.94,23969.95,24502.31,25655.32,27836.59,31638.87,33906.33,35919.95,37411.04,38773.68,41661.36,45001.84,46312.47,50402.05,52195.34,53365.9,54348.39,54340.32,55556.27,57258.26,60890.77,,
AUS,IP.PAT.NRES,12431.0,12901.0,13278.0,11762.0,12100.0,11284.0,11647.0,12277.0,13221.0,15398.0,16063.0,17960.0,20073.0,20548.0,20181.0,19176.0,20274.0,21302.0,23166.0,24122.0,23525.0,21187.0,22478.0,23143.0,23731.0,26656.0,23968.0,26314.0,25774.0,26403.0,27200.0,27121.0,26926.0,29443.0,
AUS,IP.PAT.RESD,1418.0,1649.0,1712.0,1717.0,1695.0,1663.0,1699.0,1784.0,1797.0,1760.0,1862.0,1858.0,1928.0,2187.0,2364.0,2418.0,2559.0,2555.0,2837.0,2718.0,2821.0,2494.0,2409.0,2383.0,2627.0,3061.0,1988.0,2291.0,2620.0,2503.0,2757.0,2637.0,2368.0,2966.0,
AUS,SP.POP.SCIE.RD.P6,,,,,,,,,3355.86499023438,,3382.171875,,3475.3251953125,,3771.5380859375,,4084.15161132812,,4248.25634765625,,4343.12646484375,,4532.4013671875,,,,,,,,,,,,
